Location,Age,Gender,Ethnicity,Resolution,Offence,Year,Value,Flags
"Bay Of Plenty District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2000",17691,
"Bay Of Plenty District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2001",17625,
"Bay Of Plenty District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2002",19290,
"Bay Of Plenty District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2003",20525,
"Bay Of Plenty District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2004",21413,
"Eastern District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2000",11748,
"Eastern District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2001",12149,
"Eastern District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2002",13727,
"Eastern District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2003",13317,
"Eastern District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2004",12495,
"Central District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2000",19191,
"Central District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2001",18943,
"Central District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2002",17401,
"Central District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2003",19206,
"Central District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2004",16458,
"Wellington District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2000",21441,
"Wellington District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2001",21400,
"Wellington District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2002",21981,
"Wellington District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2003",23237,
"Wellington District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2004",22069,
"Tasman District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2000",8535,
"Tasman District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2001",8314,
"Tasman District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2002",9510,
"Tasman District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2003",9784,
"Tasman District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2004",10297,
"Tasman District","Total Age","Total Gender","Total Ethnicity","Total Resolution","Total Offences","2005",10233,
