Location,Scene,Offence,Year,Measure,Value,Flags
"Waitemata District","Total Scene","Sexual assault and related offences","2007","Recorded",288,
"Waitemata District","Total Scene","Sexual assault and related offences","2006","Recorded",240,
"Waitemata District","Total Scene","Sexual assault and related offences","2005","Recorded",211,
"Waitemata District","Total Scene","Sexual assault and related offences","2004","Recorded",213,
"Waitemata District","Total Scene","Sexual assault and related offences","2003","Recorded",203,
"Waitemata District","Total Scene","Sexual assault and related offences","2002","Recorded",230,
"Waitemata District","Total Scene","Sexual assault and related offences","2001","Recorded",192,
"Waitemata District","Total Scene","Sexual assault and related offences","2000","Recorded",191,
"Waitemata District","Total Scene","Sexual assault and related offences","1999","Recorded",232,
"Waitemata District","Total Scene","Sexual assault and related offences","1998","Recorded",155,
"Waitemata District","Total Scene","Sexual assault and related offences","1997","Recorded",161,
"Waitemata District","Total Scene","Sexual assault and related offences","1996","Recorded",178,
"Waitemata District","Total Scene","Sexual assault and related offences","1995","Recorded",200,
"Waitemata District","Total Scene","Sexual assault and related offences","1994","Recorded",194,
"Waitemata District","Total Scene","Acts intended to cause injury","2014","Recorded",2960,
"Waitemata District","Total Scene","Acts intended to cause injury","2013","Recorded",3134,
"Waitemata District","Total Scene","Acts intended to cause injury","2012","Recorded",3521,
"Waitemata District","Total Scene","Robbery, extortion and related offences","2013","Recorded",164,
"Waitemata District","Total Scene","Robbery, extortion and related offences","2014","Recorded",195,
"Waitemata District","Total Scene","Acts intended to cause injury","2011","Recorded",3656,
"Waitemata District","Total Scene","Acts intended to cause injury","2010","Recorded",3787,
"Waitemata District","Total Scene","Acts intended to cause injury","2009","Recorded",4017,
"Waitemata District","Total Scene","Acts intended to cause injury","2008","Recorded",3952,
"Waitemata District","Total Scene","Acts intended to cause injury","2007","Recorded",3858,
"Waitemata District","Total Scene","Acts intended to cause injury","2006","Recorded",3424,
"Waitemata District","Total Scene","Acts intended to cause injury","2005","Recorded",3255,
"Waitemata District","Total Scene","Acts intended to cause injury","2004","Recorded",3341,
"Waitemata District","Total Scene","Acts intended to cause injury","2003","Recorded",3284,
"Waitemata District","Total Scene","Acts intended to cause injury","2002","Recorded",3409,
"Waitemata District","Total Scene","Acts intended to cause injury","2001","Recorded",3292,
"Waitemata District","Total Scene","Acts intended to cause injury","2000","Recorded",2922,
"Waitemata District","Total Scene","Acts intended to cause injury","1999","Recorded",2669,
"Waitemata District","Total Scene","Acts intended to cause injury","1998","Recorded",2738,
"Waitemata District","Total Scene","Acts intended to cause injury","1997","Recorded",2766,
"Waitemata District","Total Scene","Acts intended to cause injury","1996","Recorded",2731,
"Waitemata District","Total Scene","Acts intended to cause injury","1995","Recorded",2638,
"Waitemata District","Total Scene","Acts intended to cause injury","1994","Recorded",2498,
"Waitemata District","Total Scene","Abduction, harassment and other related offences against a person","1994","Recorded",978,
"Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter","2013","Recorded",4126,
"Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter","2014","Recorded",4581,
"Waitemata District","Total Scene","Abduction, harassment and other related offences against a person","1995","Recorded",1019,
"Waitemata District","Total Scene","Abduction, harassment and other related offences against a person","1996","Recorded",1096,
"Waitemata District","Total Scene","Abduction, harassment and other related offences against a person","1997","Recorded",1062,
"Waitemata District","Total Scene","Abduction, harassment and other related offences against a person","1998","Recorded",969,
"Waitemata District","Total Scene","Abduction, harassment and other related offences against a person","1999","Recorded",1007,
"Waitemata District","Total Scene","Abduction, harassment and other related offences against a person","2000","Recorded",1224,
"Waitemata District","Total Scene","Abduction, harassment and other related offences against a person","2001","Recorded",1350,
"Waitemata District","Total Scene","Abduction, harassment and other related offences against a person","2002","Recorded",1399,
"Waitemata District","Total Scene","Abduction, harassment and other related offences against a person","2003","Recorded",1405,
"Waitemata District","Total Scene","Abduction, harassment and other related offences against a person","2004","Recorded",1496,
"Waitemata District","Total Scene","Abduction, harassment and other related offences against a person","2005","Recorded",1357,
"Waitemata District","Total Scene","Abduction, harassment and other related offences against a person","2006","Recorded",1311,
"Waitemata District","Total Scene","Abduction, harassment and other related offences against a person","2007","Recorded",1544,
"Waitemata District","Total Scene","Abduction, harassment and other related offences against a person","2008","Recorded",1438,
"Waitemata District","Total Scene","Abduction, harassment and other related offences against a person","2009","Recorded",1421,
"Waitemata District","Total Scene","Abduction, harassment and other related offences against a person","2010","Recorded",1204,
"Waitemata District","Total Scene","Abduction, harassment and other related offences against a person","2011","Recorded",1223,
"Waitemata District","Total Scene","Abduction, harassment and other related offences against a person","2012","Recorded",1209,
"Waitemata District","Total Scene","Abduction, harassment and other related offences against a person","2013","Recorded",1244,
"Waitemata District","Total Scene","Abduction, harassment and other related offences against a person","2014","Recorded",1370,
"Waitemata District","Total Scene","Robbery, extortion and related offences","1994","Recorded",131,
"Waitemata District","Total Scene","Robbery, extortion and related offences","1995","Recorded",120,
"Waitemata District","Total Scene","Robbery, extortion and related offences","1996","Recorded",165,
"Waitemata District","Total Scene","Robbery, extortion and related offences","1997","Recorded",152,
"Waitemata District","Total Scene","Robbery, extortion and related offences","1998","Recorded",196,
"Waitemata District","Total Scene","Robbery, extortion and related offences","1999","Recorded",168,
"Waitemata District","Total Scene","Robbery, extortion and related offences","2000","Recorded",213,
"Waitemata District","Total Scene","Robbery, extortion and related offences","2001","Recorded",173,
"Waitemata District","Total Scene","Robbery, extortion and related offences","2002","Recorded",215,
"Waitemata District","Total Scene","Robbery, extortion and related offences","2003","Recorded",244,
"Waitemata District","Total Scene","Robbery, extortion and related offences","2004","Recorded",217,
"Waitemata District","Total Scene","Robbery, extortion and related offences","2005","Recorded",226,
"Waitemata District","Total Scene","Robbery, extortion and related offences","2006","Recorded",301,
"Waitemata District","Total Scene","Robbery, extortion and related offences","2007","Recorded",257,
"Waitemata District","Total Scene","Robbery, extortion and related offences","2008","Recorded",268,
"Waitemata District","Total Scene","Robbery, extortion and related offences","2009","Recorded",278,
"Waitemata District","Total Scene","Robbery, extortion and related offences","2010","Recorded",309,
"Waitemata District","Total Scene","Robbery, extortion and related offences","2011","Recorded",226,
"Waitemata District","Total Scene","Robbery, extortion and related offences","2012","Recorded",210,
"Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter","1994","Recorded",6327,
"Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter","1995","Recorded",7068,
"Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter","1996","Recorded",7977,
"Waitemata District","Total Scene","Unlawful entry with intent/burglary, break and enter","1997","Recorded",8662,
