Location,Scene,Offence,Year,Measure,Value,Flags
"Auckland District","Total Scene","Public order offences","2014","Resolved",2062,
"Auckland District","Total Scene","Public order offences","2013","Resolved",3285,
"Auckland District","Total Scene","Public order offences","2012","Resolved",5206,
"Auckland District","Total Scene","Public order offences","2011","Resolved",5195,
"Auckland District","Total Scene","Public order offences","2010","Resolved",4450,
"Auckland District","Total Scene","Public order offences","2009","Resolved",5038,
"Auckland District","Total Scene","Public order offences","2008","Resolved",4912,
"Auckland District","Total Scene","Public order offences","2007","Resolved",4604,
"Auckland District","Total Scene","Public order offences","2006","Resolved",4072,
"Auckland District","Total Scene","Public order offences","2005","Resolved",4131,
"Auckland District","Total Scene","Public order offences","2004","Resolved",4311,
"Auckland District","Total Scene","Public order offences","2003","Resolved",5344,
"Auckland District","Total Scene","Public order offences","2002","Resolved",4917,
"Auckland District","Total Scene","Public order offences","2001","Resolved",4442,
"Auckland District","Total Scene","Public order offences","2000","Resolved",4057,
"Auckland District","Total Scene","Public order offences","1999","Resolved",4233,
"Auckland District","Total Scene","Public order offences","1998","Resolved",4324,
"Auckland District","Total Scene","Public order offences","1997","Resolved",4224,
"Auckland District","Total Scene","Public order offences","1996","Resolved",4982,
"Auckland District","Total Scene","Public order offences","1995","Resolved",4231,
"Auckland District","Total Scene","Public order offences","1994","Resolved",4190,
"Auckland District","Total Scene","Miscellaneous offences","2010","Resolved",79,
"Auckland District","Total Scene","Miscellaneous offences","2009","Resolved",109,
"Auckland District","Total Scene","Miscellaneous offences","2008","Resolved",183,
"Auckland District","Total Scene","Miscellaneous offences","2007","Resolved",142,
"Auckland District","Total Scene","Miscellaneous offences","2006","Resolved",86,
"Auckland District","Total Scene","Miscellaneous offences","2005","Resolved",169,
"Auckland District","Total Scene","Miscellaneous offences","2004","Resolved",177,
"Auckland District","Total Scene","Miscellaneous offences","2003","Resolved",582,
"Auckland District","Total Scene","Miscellaneous offences","2002","Resolved",311,
"Auckland District","Total Scene","Miscellaneous offences","2001","Resolved",183,
"Auckland District","Total Scene","Miscellaneous offences","2000","Resolved",200,
"Auckland District","Total Scene","Miscellaneous offences","1999","Resolved",259,
"Auckland District","Total Scene","Miscellaneous offences","1998","Resolved",255,
"Auckland District","Total Scene","Miscellaneous offences","1997","Resolved",316,
"Auckland District","Total Scene","Miscellaneous offences","1996","Resolved",283,
"Auckland District","Total Scene","Miscellaneous offences","1995","Resolved",200,
"Auckland District","Total Scene","Miscellaneous offences","1994","Resolved",239,
"Auckland District","Total Scene","Miscellaneous offences","2011","Resolved",90,
"Auckland District","Total Scene","Miscellaneous offences","2012","Resolved",76,
"Auckland District","Total Scene","Miscellaneous offences","2013","Resolved",57,
"Auckland District","Total Scene","Miscellaneous offences","2014","Resolved",63,
"Counties/Manukau District","Total Scene","Homicide and related offences","2005","Recorded",17,
"Counties/Manukau District","Total Scene","Homicide and related offences","2006","Recorded",25,
"Counties/Manukau District","Total Scene","Homicide and related offences","2007","Recorded",8,
"Counties/Manukau District","Total Scene","Homicide and related offences","2008","Recorded",23,
"Counties/Manukau District","Total Scene","Homicide and related offences","2009","Recorded",14,
"Counties/Manukau District","Total Scene","Homicide and related offences","2010","Recorded",12,
"Counties/Manukau District","Total Scene","Homicide and related offences","2011","Recorded",7,
"Counties/Manukau District","Total Scene","Homicide and related offences","2012","Recorded",9,
"Counties/Manukau District","Total Scene","Homicide and related offences","2013","Recorded",9,
"Counties/Manukau District","Total Scene","Homicide and related offences","2014","Recorded",8,
"Counties/Manukau District","Total Scene","Acts intended to cause injury","1994","Recorded",3016,
"Counties/Manukau District","Total Scene","Acts intended to cause injury","1995","Recorded",3243,
"Counties/Manukau District","Total Scene","Acts intended to cause injury","1996","Recorded",3654,
"Counties/Manukau District","Total Scene","Acts intended to cause injury","1997","Recorded",3897,
"Counties/Manukau District","Total Scene","Acts intended to cause injury","1998","Recorded",4114,
"Counties/Manukau District","Total Scene","Acts intended to cause injury","1999","Recorded",4090,
"Counties/Manukau District","Total Scene","Acts intended to cause injury","2000","Recorded",4447,
"Counties/Manukau District","Total Scene","Acts intended to cause injury","2001","Recorded",4380,
"Counties/Manukau District","Total Scene","Acts intended to cause injury","2002","Recorded",4370,
"Counties/Manukau District","Total Scene","Acts intended to cause injury","2003","Recorded",3829,
"Counties/Manukau District","Total Scene","Acts intended to cause injury","2004","Recorded",3939,
"Counties/Manukau District","Total Scene","Acts intended to cause injury","2005","Recorded",4592,
"Counties/Manukau District","Total Scene","Acts intended to cause injury","2006","Recorded",4823,
"Counties/Manukau District","Total Scene","Acts intended to cause injury","2007","Recorded",5788,
"Counties/Manukau District","Total Scene","Acts intended to cause injury","2008","Recorded",6091,
"Counties/Manukau District","Total Scene","Acts intended to cause injury","2009","Recorded",6579,
"Counties/Manukau District","Total Scene","Acts intended to cause injury","2010","Recorded",6864,
"Counties/Manukau District","Total Scene","Acts intended to cause injury","2011","Recorded",6152,
"Counties/Manukau District","Total Scene","Acts intended to cause injury","2012","Recorded",5803,
"Counties/Manukau District","Total Scene","Acts intended to cause injury","2013","Recorded",6328,
"Counties/Manukau District","Total Scene","Acts intended to cause injury","2014","Recorded",5719,
"Counties/Manukau District","Total Scene","Dangerous or negligent acts endangering persons","2014","Recorded",150,
"Counties/Manukau District","Total Scene","Dangerous or negligent acts endangering persons","2013","Recorded",134,
"Counties/Manukau District","Total Scene","Dangerous or negligent acts endangering persons","2012","Recorded",191,
"Counties/Manukau District","Total Scene","Dangerous or negligent acts endangering persons","2011","Recorded",194,
"Counties/Manukau District","Total Scene","Dangerous or negligent acts endangering persons","2010","Recorded",167,
"Counties/Manukau District","Total Scene","Dangerous or negligent acts endangering persons","2009","Recorded",157,
"Counties/Manukau District","Total Scene","Dangerous or negligent acts endangering persons","2008","Recorded",126,
"Counties/Manukau District","Total Scene","Dangerous or negligent acts endangering persons","2007","Recorded",150,
"Counties/Manukau District","Total Scene","Dangerous or negligent acts endangering persons","2006","Recorded",115,
"Counties/Manukau District","Total Scene","Dangerous or negligent acts endangering persons","2005","Recorded",121,
"Counties/Manukau District","Total Scene","Dangerous or negligent acts endangering persons","2004","Recorded",155,
"Counties/Manukau District","Total Scene","Dangerous or negligent acts endangering persons","2003","Recorded",140,
"Counties/Manukau District","Total Scene","Dangerous or negligent acts endangering persons","2002","Recorded",147,
"Counties/Manukau District","Total Scene","Dangerous or negligent acts endangering persons","2001","Recorded",121,
"Counties/Manukau District","Total Scene","Dangerous or negligent acts endangering persons","2000","Recorded",104,
"Counties/Manukau District","Total Scene","Dangerous or negligent acts endangering persons","1999","Recorded",86,
"Counties/Manukau District","Total Scene","Dangerous or negligent acts endangering persons","1998","Recorded",87,
"Counties/Manukau District","Total Scene","Dangerous or negligent acts endangering persons","1997","Recorded",96,
"Counties/Manukau District","Total Scene","Dangerous or negligent acts endangering persons","1996","Recorded",102,
"Counties/Manukau District","Total Scene","Dangerous or negligent acts endangering persons","1995","Recorded",103,
"Counties/Manukau District","Total Scene","Dangerous or negligent acts endangering persons","1994","Recorded",75,
"Counties/Manukau District","Total Scene","Sexual assault and related offences","2014","Recorded",541,
"Counties/Manukau District","Total Scene","Sexual assault and related offences","2013","Recorded",507,
"Counties/Manukau District","Total Scene","Sexual assault and related offences","2012","Recorded",463,
"Counties/Manukau District","Total Scene","Sexual assault and related offences","2011","Recorded",446,
"Counties/Manukau District","Total Scene","Sexual assault and related offences","2010","Recorded",403,
"Counties/Manukau District","Total Scene","Sexual assault and related offences","2009","Recorded",479,
"Counties/Manukau District","Total Scene","Sexual assault and related offences","2008","Recorded",395,
"Counties/Manukau District","Total Scene","Sexual assault and related offences","2007","Recorded",482,
"Counties/Manukau District","Total Scene","Sexual assault and related offences","2006","Recorded",468,
"Counties/Manukau District","Total Scene","Sexual assault and related offences","2005","Recorded",314,
"Counties/Manukau District","Total Scene","Sexual assault and related offences","2004","Recorded",321,
"Counties/Manukau District","Total Scene","Sexual assault and related offences","2003","Recorded",301,
"Counties/Manukau District","Total Scene","Sexual assault and related offences","2002","Recorded",284,
"Counties/Manukau District","Total Scene","Sexual assault and related offences","2001","Recorded",263,
"Counties/Manukau District","Total Scene","Sexual assault and related offences","2000","Recorded",279,
"Counties/Manukau District","Total Scene","Sexual assault and related offences","1999","Recorded",245,
"Counties/Manukau District","Total Scene","Sexual assault and related offences","1998","Recorded",276,
"Counties/Manukau District","Total Scene","Sexual assault and related offences","1997","Recorded",247,
"Counties/Manukau District","Total Scene","Sexual assault and related offences","1996","Recorded",408,
"Counties/Manukau District","Total Scene","Sexual assault and related offences","1995","Recorded",263,
"Counties/Manukau District","Total Scene","Sexual assault and related offences","1994","Recorded",258,
"Counties/Manukau District","Total Scene","Abduction, harassment and other related offences against a person","2010","Recorded",2420,
"Counties/Manukau District","Total Scene","Abduction, harassment and other related offences against a person","2009","Recorded",2673,
"Counties/Manukau District","Total Scene","Abduction, harassment and other related offences against a person","2008","Recorded",2173,
"Counties/Manukau District","Total Scene","Abduction, harassment and other related offences against a person","2007","Recorded",2069,
"Counties/Manukau District","Total Scene","Abduction, harassment and other related offences against a person","2006","Recorded",1434,
"Counties/Manukau District","Total Scene","Abduction, harassment and other related offences against a person","2005","Recorded",1456,
"Counties/Manukau District","Total Scene","Abduction, harassment and other related offences against a person","2004","Recorded",1307,
"Counties/Manukau District","Total Scene","Abduction, harassment and other related offences against a person","2003","Recorded",1471,
"Counties/Manukau District","Total Scene","Abduction, harassment and other related offences against a person","2002","Recorded",1462,
"Counties/Manukau District","Total Scene","Abduction, harassment and other related offences against a person","2001","Recorded",1340,
"Counties/Manukau District","Total Scene","Abduction, harassment and other related offences against a person","2000","Recorded",1364,
"Counties/Manukau District","Total Scene","Abduction, harassment and other related offences against a person","1999","Recorded",1168,
"Counties/Manukau District","Total Scene","Abduction, harassment and other related offences against a person","1998","Recorded",1126,
"Counties/Manukau District","Total Scene","Abduction, harassment and other related offences against a person","1997","Recorded",1076,
"Counties/Manukau District","Total Scene","Abduction, harassment and other related offences against a person","1996","Recorded",926,
"Counties/Manukau District","Total Scene","Abduction, harassment and other related offences against a person","1995","Recorded",830,
"Counties/Manukau District","Total Scene","Abduction, harassment and other related offences against a person","1994","Recorded",784,
"Counties/Manukau District","Total Scene","Abduction, harassment and other related offences against a person","2011","Recorded",1972,
"Counties/Manukau District","Total Scene","Abduction, harassment and other related offences against a person","2012","Recorded",1809,
"Counties/Manukau District","Total Scene","Abduction, harassment and other related offences against a person","2013","Recorded",1709,
"Counties/Manukau District","Total Scene","Abduction, harassment and other related offences against a person","2014","Recorded",1635,
"Counties/Manukau District","Total Scene","Robbery, extortion and related offences","1994","Recorded",261,
"Counties/Manukau District","Total Scene","Robbery, extortion and related offences","1995","Recorded",296,
"Counties/Manukau District","Total Scene","Robbery, extortion and related offences","1996","Recorded",370,
"Counties/Manukau District","Total Scene","Robbery, extortion and related offences","1997","Recorded",395,
"Counties/Manukau District","Total Scene","Robbery, extortion and related offences","1998","Recorded",389,
"Counties/Manukau District","Total Scene","Robbery, extortion and related offences","1999","Recorded",265,
"Counties/Manukau District","Total Scene","Robbery, extortion and related offences","2000","Recorded",311,
"Counties/Manukau District","Total Scene","Robbery, extortion and related offences","2001","Recorded",316,
"Counties/Manukau District","Total Scene","Robbery, extortion and related offences","2002","Recorded",348,
"Counties/Manukau District","Total Scene","Robbery, extortion and related offences","2003","Recorded",356,
"Counties/Manukau District","Total Scene","Robbery, extortion and related offences","2004","Recorded",391,
"Counties/Manukau District","Total Scene","Robbery, extortion and related offences","2005","Recorded",443,
"Counties/Manukau District","Total Scene","Robbery, extortion and related offences","2006","Recorded",719,
"Counties/Manukau District","Total Scene","Robbery, extortion and related offences","2007","Recorded",637,
"Counties/Manukau District","Total Scene","Robbery, extortion and related offences","2008","Recorded",630,
"Counties/Manukau District","Total Scene","Robbery, extortion and related offences","2009","Recorded",670,
"Counties/Manukau District","Total Scene","Robbery, extortion and related offences","2010","Recorded",555,
"Counties/Manukau District","Total Scene","Robbery, extortion and related offences","2011","Recorded",586,
"Counties/Manukau District","Total Scene","Robbery, extortion and related offences","2012","Recorded",467,
"Counties/Manukau District","Total Scene","Robbery, extortion and related offences","2013","Recorded",468,
"Counties/Manukau District","Total Scene","Robbery, extortion and related offences","2014","Recorded",509,
"Counties/Manukau District","Total Scene","Unlawful entry with intent/burglary, break and enter","2011","Recorded",7418,
"Counties/Manukau District","Total Scene","Unlawful entry with intent/burglary, break and enter","2012","Recorded",7082,
"Counties/Manukau District","Total Scene","Unlawful entry with intent/burglary, break and enter","2013","Recorded",6723,
"Counties/Manukau District","Total Scene","Unlawful entry with intent/burglary, break and enter","2014","Recorded",6793,
"Counties/Manukau District","Total Scene","Theft and related offences","1994","Recorded",14298,
"Counties/Manukau District","Total Scene","Theft and related offences","1995","Recorded",15813,
"Counties/Manukau District","Total Scene","Theft and related offences","1996","Recorded",18326,
"Counties/Manukau District","Total Scene","Theft and related offences","1997","Recorded",18168,
"Counties/Manukau District","Total Scene","Theft and related offences","1998","Recorded",17391,
"Counties/Manukau District","Total Scene","Theft and related offences","1999","Recorded",15539,
"Counties/Manukau District","Total Scene","Theft and related offences","2000","Recorded",15156,
"Counties/Manukau District","Total Scene","Theft and related offences","2001","Recorded",16087,
"Counties/Manukau District","Total Scene","Theft and related offences","2002","Recorded",17804,
"Counties/Manukau District","Total Scene","Theft and related offences","2003","Recorded",17698,
"Counties/Manukau District","Total Scene","Theft and related offences","2004","Recorded",14931,
"Counties/Manukau District","Total Scene","Theft and related offences","2005","Recorded",17850,
"Counties/Manukau District","Total Scene","Theft and related offences","2006","Recorded",19089,
"Counties/Manukau District","Total Scene","Theft and related offences","2007","Recorded",16414,
"Counties/Manukau District","Total Scene","Theft and related offences","2008","Recorded",16109,
"Counties/Manukau District","Total Scene","Theft and related offences","2009","Recorded",17212,
"Counties/Manukau District","Total Scene","Theft and related offences","2010","Recorded",14818,
"Counties/Manukau District","Total Scene","Theft and related offences","2011","Recorded",15840,
"Counties/Manukau District","Total Scene","Theft and related offences","2012","Recorded",13366,
"Counties/Manukau District","Total Scene","Theft and related offences","2013","Recorded",14229,
"Counties/Manukau District","Total Scene","Theft and related offences","2014","Recorded",14957,
"Counties/Manukau District","Total Scene","Unlawful entry with intent/burglary, break and enter","1994","Recorded",9812,
"Counties/Manukau District","Total Scene","Unlawful entry with intent/burglary, break and enter","1995","Recorded",9537,
"Counties/Manukau District","Total Scene","Unlawful entry with intent/burglary, break and enter","1996","Recorded",10311,
"Counties/Manukau District","Total Scene","Unlawful entry with intent/burglary, break and enter","1997","Recorded",10283,
"Counties/Manukau District","Total Scene","Unlawful entry with intent/burglary, break and enter","1998","Recorded",10141,
"Counties/Manukau District","Total Scene","Unlawful entry with intent/burglary, break and enter","1999","Recorded",10251,
"Counties/Manukau District","Total Scene","Unlawful entry with intent/burglary, break and enter","2000","Recorded",9205,
"Counties/Manukau District","Total Scene","Unlawful entry with intent/burglary, break and enter","2001","Recorded",8685,
"Counties/Manukau District","Total Scene","Unlawful entry with intent/burglary, break and enter","2002","Recorded",9350,
"Counties/Manukau District","Total Scene","Unlawful entry with intent/burglary, break and enter","2003","Recorded",8650,
"Counties/Manukau District","Total Scene","Unlawful entry with intent/burglary, break and enter","2004","Recorded",7722,
"Counties/Manukau District","Total Scene","Unlawful entry with intent/burglary, break and enter","2005","Recorded",8281,
"Counties/Manukau District","Total Scene","Unlawful entry with intent/burglary, break and enter","2006","Recorded",9295,
"Counties/Manukau District","Total Scene","Unlawful entry with intent/burglary, break and enter","2007","Recorded",9004,
"Counties/Manukau District","Total Scene","Unlawful entry with intent/burglary, break and enter","2008","Recorded",8746,
"Counties/Manukau District","Total Scene","Unlawful entry with intent/burglary, break and enter","2009","Recorded",8697,
"Counties/Manukau District","Total Scene","Unlawful entry with intent/burglary, break and enter","2010","Recorded",7010,
"Counties/Manukau District","Total Scene","Fraud, deception and related offences","2011","Recorded",865,
"Counties/Manukau District","Total Scene","Fraud, deception and related offences","2012","Recorded",791,
"Counties/Manukau District","Total Scene","Fraud, deception and related offences","2013","Recorded",897,
"Counties/Manukau District","Total Scene","Fraud, deception and related offences","2014","Recorded",892,
"Counties/Manukau District","Total Scene","Fraud, deception and related offences","1994","Recorded",1986,
"Counties/Manukau District","Total Scene","Fraud, deception and related offences","1995","Recorded",4184,
"Counties/Manukau District","Total Scene","Fraud, deception and related offences","1996","Recorded",3859,
"Counties/Manukau District","Total Scene","Fraud, deception and related offences","1997","Recorded",2698,
"Counties/Manukau District","Total Scene","Fraud, deception and related offences","1998","Recorded",2070,
"Counties/Manukau District","Total Scene","Fraud, deception and related offences","1999","Recorded",2346,
"Counties/Manukau District","Total Scene","Fraud, deception and related offences","2000","Recorded",2578,
"Counties/Manukau District","Total Scene","Fraud, deception and related offences","2001","Recorded",2497,
"Counties/Manukau District","Total Scene","Fraud, deception and related offences","2002","Recorded",3399,
"Counties/Manukau District","Total Scene","Fraud, deception and related offences","2003","Recorded",2480,
"Counties/Manukau District","Total Scene","Fraud, deception and related offences","2004","Recorded",2248,
"Counties/Manukau District","Total Scene","Fraud, deception and related offences","2005","Recorded",1151,
"Counties/Manukau District","Total Scene","Fraud, deception and related offences","2006","Recorded",1413,
"Counties/Manukau District","Total Scene","Fraud, deception and related offences","2007","Recorded",1674,
"Counties/Manukau District","Total Scene","Fraud, deception and related offences","2008","Recorded",2119,
"Counties/Manukau District","Total Scene","Fraud, deception and related offences","2009","Recorded",1802,
"Counties/Manukau District","Total Scene","Fraud, deception and related offences","2010","Recorded",997,
"Counties/Manukau District","Total Scene","Property damage and environmental pollution","2011","Recorded",5438,
"Counties/Manukau District","Total Scene","Property damage and environmental pollution","2012","Recorded",4897,
"Counties/Manukau District","Total Scene","Property damage and environmental pollution","2013","Recorded",4473,
"Counties/Manukau District","Total Scene","Property damage and environmental pollution","2014","Recorded",4310,
"Counties/Manukau District","Total Scene","Prohibited and regulated weapons and explosives offences","1994","Recorded",440,
"Counties/Manukau District","Total Scene","Prohibited and regulated weapons and explosives offences","1995","Recorded",443,
"Counties/Manukau District","Total Scene","Prohibited and regulated weapons and explosives offences","1996","Recorded",492,
"Counties/Manukau District","Total Scene","Prohibited and regulated weapons and explosives offences","1997","Recorded",550,
"Counties/Manukau District","Total Scene","Prohibited and regulated weapons and explosives offences","1998","Recorded",601,
"Counties/Manukau District","Total Scene","Prohibited and regulated weapons and explosives offences","1999","Recorded",569,
"Counties/Manukau District","Total Scene","Prohibited and regulated weapons and explosives offences","2000","Recorded",509,
"Counties/Manukau District","Total Scene","Prohibited and regulated weapons and explosives offences","2001","Recorded",658,
"Counties/Manukau District","Total Scene","Prohibited and regulated weapons and explosives offences","2002","Recorded",661,
"Counties/Manukau District","Total Scene","Prohibited and regulated weapons and explosives offences","2003","Recorded",742,
"Counties/Manukau District","Total Scene","Prohibited and regulated weapons and explosives offences","2004","Recorded",719,
"Counties/Manukau District","Total Scene","Prohibited and regulated weapons and explosives offences","2005","Recorded",905,
"Counties/Manukau District","Total Scene","Prohibited and regulated weapons and explosives offences","2006","Recorded",1059,
"Counties/Manukau District","Total Scene","Prohibited and regulated weapons and explosives offences","2007","Recorded",869,
"Counties/Manukau District","Total Scene","Prohibited and regulated weapons and explosives offences","2008","Recorded",944,
"Counties/Manukau District","Total Scene","Offences against justice procedures, government security and government operations","2008","Recorded",2576,
"Counties/Manukau District","Total Scene","Offences against justice procedures, government security and government operations","2009","Recorded",2701,
"Counties/Manukau District","Total Scene","Offences against justice procedures, government security and government operations","2010","Recorded",2400,
"Counties/Manukau District","Total Scene","Offences against justice procedures, government security and government operations","2011","Recorded",2443,
"Counties/Manukau District","Total Scene","Offences against justice procedures, government security and government operations","2012","Recorded",2052,
"Counties/Manukau District","Total Scene","Offences against justice procedures, government security and government operations","2013","Recorded",1969,
"Counties/Manukau District","Total Scene","Offences against justice procedures, government security and government operations","2014","Recorded",1763,
"Counties/Manukau District","Total Scene","Prohibited and regulated weapons and explosives offences","2009","Recorded",1008,
"Counties/Manukau District","Total Scene","Prohibited and regulated weapons and explosives offences","2010","Recorded",1053,
"Counties/Manukau District","Total Scene","Prohibited and regulated weapons and explosives offences","2011","Recorded",935,
"Counties/Manukau District","Total Scene","Prohibited and regulated weapons and explosives offences","2012","Recorded",811,
"Counties/Manukau District","Total Scene","Prohibited and regulated weapons and explosives offences","2013","Recorded",737,
"Counties/Manukau District","Total Scene","Prohibited and regulated weapons and explosives offences","2014","Recorded",754,
"Counties/Manukau District","Total Scene","Property damage and environmental pollution","1994","Recorded",2968,
"Counties/Manukau District","Total Scene","Property damage and environmental pollution","1995","Recorded",3418,
"Counties/Manukau District","Total Scene","Property damage and environmental pollution","1996","Recorded",4184,
"Counties/Manukau District","Total Scene","Property damage and environmental pollution","1997","Recorded",4400,
"Counties/Manukau District","Total Scene","Property damage and environmental pollution","1998","Recorded",4145,
"Counties/Manukau District","Total Scene","Property damage and environmental pollution","1999","Recorded",3985,
"Counties/Manukau District","Total Scene","Property damage and environmental pollution","2000","Recorded",4207,
"Counties/Manukau District","Total Scene","Property damage and environmental pollution","2001","Recorded",4168,
"Counties/Manukau District","Total Scene","Property damage and environmental pollution","2002","Recorded",4411,
"Counties/Manukau District","Total Scene","Property damage and environmental pollution","2003","Recorded",4797,
"Counties/Manukau District","Total Scene","Property damage and environmental pollution","2004","Recorded",4160,
"Counties/Manukau District","Total Scene","Property damage and environmental pollution","2005","Recorded",4862,
"Counties/Manukau District","Total Scene","Property damage and environmental pollution","2006","Recorded",5109,
"Counties/Manukau District","Total Scene","Property damage and environmental pollution","2007","Recorded",5462,
"Counties/Manukau District","Total Scene","Property damage and environmental pollution","2008","Recorded",5137,
"Counties/Manukau District","Total Scene","Total Offences","1994","Resolved",13127,
"Counties/Manukau District","Total Scene","Total Offences","1995","Resolved",14535,
"Counties/Manukau District","Total Scene","Total Offences","1996","Resolved",15907,
"Counties/Manukau District","Total Scene","Total Offences","1997","Resolved",16472,
"Counties/Manukau District","Total Scene","Total Offences","1998","Resolved",15961,
"Counties/Manukau District","Total Scene","Total Offences","1999","Resolved",16078,
"Counties/Manukau District","Total Scene","Total Offences","2000","Resolved",17528,
"Counties/Manukau District","Total Scene","Total Offences","2001","Resolved",16812,
"Counties/Manukau District","Total Scene","Total Offences","2002","Resolved",16696,
"Counties/Manukau District","Total Scene","Total Offences","2003","Resolved",17123,
"Counties/Manukau District","Total Scene","Total Offences","2004","Resolved",15932,
"Counties/Manukau District","Total Scene","Total Offences","2005","Resolved",16628,
"Counties/Manukau District","Total Scene","Total Offences","2006","Resolved",20534,
"Counties/Manukau District","Total Scene","Total Offences","2007","Resolved",21519,
"Counties/Manukau District","Total Scene","Total Offences","2008","Resolved",21106,
"Counties/Manukau District","Total Scene","Total Offences","2009","Resolved",24106,
"Counties/Manukau District","Total Scene","Total Offences","2010","Resolved",26734,
"Counties/Manukau District","Total Scene","Total Offences","2011","Resolved",24297,
"Counties/Manukau District","Total Scene","Total Offences","2012","Resolved",21211,
"Counties/Manukau District","Total Scene","Total Offences","2013","Resolved",19939,
"Counties/Manukau District","Total Scene","Total Offences","2014","Resolved",17199,
"Counties/Manukau District","Total Scene","Homicide and related offences","1994","Resolved",8,
"Counties/Manukau District","Total Scene","Homicide and related offences","1995","Resolved",1,
"Counties/Manukau District","Total Scene","Homicide and related offences","1996","Resolved",8,
"Counties/Manukau District","Total Scene","Homicide and related offences","1997","Resolved",12,
"Counties/Manukau District","Total Scene","Homicide and related offences","1998","Resolved",5,
"Counties/Manukau District","Total Scene","Homicide and related offences","1999","Resolved",9,
"Counties/Manukau District","Total Scene","Homicide and related offences","2000","Resolved",10,
"Counties/Manukau District","Total Scene","Homicide and related offences","2001","Resolved",2,
"Counties/Manukau District","Total Scene","Homicide and related offences","2002","Resolved",14,
"Counties/Manukau District","Total Scene","Homicide and related offences","2003","Resolved",18,
"Counties/Manukau District","Total Scene","Homicide and related offences","2004","Resolved",9,
"Counties/Manukau District","Total Scene","Property damage and environmental pollution","2009","Recorded",6640,
"Counties/Manukau District","Total Scene","Property damage and environmental pollution","2010","Recorded",5946,
"Counties/Manukau District","Total Scene","Public order offences","2011","Recorded",5685,
"Counties/Manukau District","Total Scene","Public order offences","2012","Recorded",4515,
"Counties/Manukau District","Total Scene","Public order offences","2013","Recorded",3700,
"Counties/Manukau District","Total Scene","Public order offences","2014","Recorded",2526,
"Counties/Manukau District","Total Scene","Offences against justice procedures, government security and government operations","1994","Recorded",1110,
"Counties/Manukau District","Total Scene","Offences against justice procedures, government security and government operations","1995","Recorded",1153,
"Counties/Manukau District","Total Scene","Offences against justice procedures, government security and government operations","1996","Recorded",1461,
"Counties/Manukau District","Total Scene","Offences against justice procedures, government security and government operations","1997","Recorded",1864,
"Counties/Manukau District","Total Scene","Offences against justice procedures, government security and government operations","1998","Recorded",2282,
"Counties/Manukau District","Total Scene","Offences against justice procedures, government security and government operations","1999","Recorded",1911,
"Counties/Manukau District","Total Scene","Offences against justice procedures, government security and government operations","2000","Recorded",2399,
"Counties/Manukau District","Total Scene","Offences against justice procedures, government security and government operations","2001","Recorded",1739,
"Counties/Manukau District","Total Scene","Offences against justice procedures, government security and government operations","2002","Recorded",1940,
"Counties/Manukau District","Total Scene","Offences against justice procedures, government security and government operations","2003","Recorded",1914,
"Counties/Manukau District","Total Scene","Offences against justice procedures, government security and government operations","2004","Recorded",2497,
"Counties/Manukau District","Total Scene","Offences against justice procedures, government security and government operations","2005","Recorded",2377,
"Counties/Manukau District","Total Scene","Offences against justice procedures, government security and government operations","2006","Recorded",3344,
"Counties/Manukau District","Total Scene","Offences against justice procedures, government security and government operations","2007","Recorded",2791,
"Counties/Manukau District","Total Scene","Miscellaneous offences","1994","Recorded",155,
"Counties/Manukau District","Total Scene","Miscellaneous offences","1995","Recorded",131,
"Counties/Manukau District","Total Scene","Miscellaneous offences","1996","Recorded",198,
"Counties/Manukau District","Total Scene","Miscellaneous offences","1997","Recorded",188,
"Counties/Manukau District","Total Scene","Miscellaneous offences","1998","Recorded",242,
"Counties/Manukau District","Total Scene","Miscellaneous offences","1999","Recorded",269,
"Counties/Manukau District","Total Scene","Miscellaneous offences","2000","Recorded",314,
"Counties/Manukau District","Total Scene","Public order offences","1994","Recorded",2153,
"Counties/Manukau District","Total Scene","Public order offences","1995","Recorded",3100,
"Counties/Manukau District","Total Scene","Public order offences","1996","Recorded",3634,
"Counties/Manukau District","Total Scene","Public order offences","1997","Recorded",3487,
"Counties/Manukau District","Total Scene","Public order offences","1998","Recorded",2809,
"Counties/Manukau District","Total Scene","Public order offences","1999","Recorded",3149,
"Counties/Manukau District","Total Scene","Public order offences","2000","Recorded",3527,
"Counties/Manukau District","Total Scene","Public order offences","2001","Recorded",3706,
"Counties/Manukau District","Total Scene","Public order offences","2002","Recorded",3884,
"Counties/Manukau District","Total Scene","Public order offences","2003","Recorded",3550,
"Counties/Manukau District","Total Scene","Public order offences","2004","Recorded",3175,
"Counties/Manukau District","Total Scene","Public order offences","2005","Recorded",3490,
"Counties/Manukau District","Total Scene","Public order offences","2006","Recorded",3824,
"Counties/Manukau District","Total Scene","Public order offences","2007","Recorded",4238,
"Counties/Manukau District","Total Scene","Public order offences","2008","Recorded",4499,
"Counties/Manukau District","Total Scene","Public order offences","2009","Recorded",5342,
"Counties/Manukau District","Total Scene","Public order offences","2010","Recorded",6427,
"Counties/Manukau District","Total Scene","Miscellaneous offences","2001","Recorded",300,
"Counties/Manukau District","Total Scene","Miscellaneous offences","2002","Recorded",364,
"Counties/Manukau District","Total Scene","Miscellaneous offences","2003","Recorded",1199,
"Counties/Manukau District","Total Scene","Miscellaneous offences","2004","Recorded",168,
